Wavelength (Angstroms), Normalized intensity, Element
7950.7, 9828, 
7951.7, 9494, 
7952.7, 9874, 
7953.7, 9663, 
7954.7, 9823, 
7955.7, 8090, 
7956.7, 9440, 
7957.7, 9851, 
7958.7, 9839, 
7959.7, 9721, 
7960.7, 8797, 
7961.7, 9784, 
7962.7, 9741, 
7963.7, 9864, 
7964.7, 9863, 
7965.7, 9813, 
7966.7, 9873, 
7967.7, 9870, 
7968.7, 9833, 
7969.7, 9869, 
7970.7, 9867, 
7971.7, 9798, 
7972.7, 9882, 
7973.7, 9837, 
7974.7, 9384, 
7975.7, 9775, 
7976.7, 9857, 
7977.7, 9882, 
7978.7, 9812, 
7979.7, 9808, 
7980.7, 9799, 
7981.7, 9858, 
7982.7, 9865, 
7983.7, 9848, 
7984.7, 9720, 
7985.7, 9883, 
7986.7, 9843, 
7987.7, 9819, 
7988.7, 9881, 
7989.7, 9897, 
7990.7, 9589, 
7991.7, 9853, 
7992.7, 9881, 
7993.7, 9854, 
7994.7, 9542, 
7995.7, 9593, 
7996.7, 9830, 
7997.7, 9836, 
7998.7, 9174, 
7999.7, 9759, 
8000.7, 9858, 
8001.7, 9886, 
8002.7, 9799, 
8003.7, 9854, 
8004.7, 9884, 
8005.7, 9861, 
8006.7, 9748, 
8007.7, 9476, 
8008.7, 9771, 
8009.7, 9851, 
8010.7, 9845, 
8011.7, 9650, 
8012.7, 9752, 
8013.7, 9850, 
8014.7, 9789, 
8015.7, 9698, 
8016.7, 9858, 
8017.7, 9857, 
8018.7, 9820, 
8019.7, 9866, 
8020.7, 9558, 
8021.7, 9801, 
8022.7, 9853, 
8023.7, 9843, 
8024.7, 9737, 
8025.7, 9842, 
8026.7, 9676, 
8027.7, 9763, 
8028.7, 9763, 
8029.7, 9862, 
8030.7, 9724, 
8031.7, 9882, 
8032.7, 9745, 
8033.7, 9845, 
8034.7, 9866, 
8035.7, 9157, 
8036.7, 9863, 
8037.7, 9861, 
8038.7, 9874, 
8039.7, 9856, 
8040.7, 9857, 
8041.7, 9778, 
8042.7, 9866, 
8043.7, 9831, 
8044.7, 9857, 
8045.7, 9582, 
8046.7, 9631, 
8047.7, 8491, 
8048.7, 9871, 
